Cluster,Score,Type,Gene,Symbol,Network
1,1.5,Clustered,3845,KRAS,CNet-SVM_SUB1
1,1.5,Clustered,2253,FGF8,CNet-SVM_SUB1
1,1.5,Seed,2246,FGF1,CNet-SVM_SUB1
1,1.5,Clustered,3725,JUN,CNet-SVM_SUB1
1,1.0,Clustered,83540,NUF2,SGLasso-SVM_SUB1
1,1.0,Clustered,699,BUB1,SGLasso-SVM_SUB1
1,1.0,Seed,1063,CENPF,SGLasso-SVM_SUB1
1,1.0,Clustered,4089,SMAD4,mRMR-SVM_SUB1
1,1.0,Seed,4040,LRP6,mRMR-SVM_SUB1
1,1.0,Clustered,1499,CTNNB1,mRMR-SVM_SUB1
2,1.0,Clustered,5595,MAPK3,mRMR-SVM_SUB1
2,1.0,Clustered,6464,SHC1,mRMR-SVM_SUB1
2,1.0,Seed,8817,FGF18,mRMR-SVM_SUB1
