GO,Description,_LogP_CNet-SVM,_LogP_Enet-SVM,_LogP_L2SCAD-SVM,_LogP_SCAD-SVM,_LogP_SGLasso-SVM,_LogP_SVM-RFE,_LogP_mRMR-SVM
WP4787,Osteoblast differentiation and related diseases,-6.773732286963421,0.0,0.0,0.0,0.0,0.0,-6.921150015279603
hsa05226,Gastric cancer,-6.305897403739796,0.0,0.0,0.0,0.0,0.0,-11.80931511067548
GO:0007167,enzyme-linked receptor protein signaling pathway,-3.3854956717155766,0.0,0.0,0.0,0.0,0.0,-8.310923645601525
WP236,Adipogenesis,-4.955916245401469,0.0,0.0,0.0,0.0,0.0,-3.5268098823227496
M70,PID PS1 PATHWAY,-4.798437094052485,0.0,0.0,0.0,0.0,0.0,-4.884465690578581
GO:0008283,cell population proliferation,-3.8026797704057502,0.0,0.0,0.0,0.0,0.0,-3.941213300730692
GO:0048534,hematopoietic or lymphoid organ development,-4.243957503946857,0.0,0.0,0.0,0.0,0.0,-2.4156794453862465
GO:0001934,positive regulation of protein phosphorylation,-2.125331401533231,0.0,0.0,0.0,-2.336417459159652,0.0,-4.114634164451214
GO:0061061,muscle structure development,-7.5108241004491125,0.0,0.0,0.0,0.0,-2.8915889901481377,-2.8915889901481377
GO:0071407,cellular response to organic cyclic compound,-2.7173013809410653,0.0,0.0,0.0,0.0,-3.8882649438389723,-2.82385605248229
GO:0006351,"transcription, DNA-templated",0.0,0.0,0.0,0.0,0.0,0.0,-8.371602039756386
WP4216,Chromosomal and microsatellite instability in colorectal cancer,0.0,0.0,0.0,0.0,0.0,0.0,-12.112623417135902
GO:2000142,"regulation of DNA-templated transcription, initiation",-4.142129981438692,0.0,0.0,0.0,0.0,0.0,0.0
M5883,NABA SECRETED FACTORS,-7.2182318915178865,0.0,-2.843251770392508,0.0,0.0,-2.3280229346133576,0.0
hsa05224,Breast cancer,-11.605839151481774,0.0,0.0,-4.618423880144953,0.0,-3.380225691506163,-11.856851433018207
R-HSA-372790,Signaling by GPCR,-5.117157328998628,0.0,-2.968149861421686,-2.6179358965675874,0.0,-3.2131993529656486,-2.2960363879435874
GO:0001501,skeletal system development,-2.7173013809410653,0.0,-2.367716536943816,0.0,0.0,-3.8882649438389723,-3.8882649438389723
GO:0030335,positive regulation of cell migration,0.0,0.0,-3.349097594868279,0.0,0.0,-2.6601947510913484,-2.6601947510913484
M5884,NABA CORE MATRISOME,0.0,0.0,-3.119617070488835,0.0,-2.6845202912818347,-6.573665458343823,-2.597160618941915
GO:1903047,mitotic cell cycle process,0.0,0.0,0.0,0.0,-9.236951281135001,0.0,0.0
